,date,code,name,weight
249,2020-04-30,002271,东方雨虹,0.27
250,2020-04-30,002294,信立泰,0.06
251,2020-04-30,002304,洋河股份,0.45
252,2020-04-30,002311,海大集团,0.26
253,2020-04-30,002352,顺丰控股,0.31
254,2020-04-30,002410,广联达,0.27
255,2020-04-30,002411,延安必康,0.04
256,2020-04-30,002415,海康威视,0.91
257,2020-04-30,002422,科伦药业,0.13
258,2020-04-30,002456,欧菲光,0.22
259,2020-04-30,002460,赣锋锂业,0.27
260,2020-04-30,002466,天齐锂业,0.11
261,2020-04-30,002468,申通快递,0.04
262,2020-04-30,002475,立讯精密,1.15
263,2020-04-30,002493,荣盛石化,0.17
264,2020-04-30,002508,老板电器,0.11
265,2020-04-30,002555,三七互娱,0.29
266,2020-04-30,002558,巨人网络,0.08
267,2020-04-30,002594,比亚迪,0.41
268,2020-04-30,002601,龙蟒佰利,0.13
269,2020-04-30,002602,世纪华通,0.25
270,2020-04-30,002607,中公教育,0.13
271,2020-04-30,002624,完美世界,0.19
272,2020-04-30,002673,西部证券,0.11
273,2020-04-30,002714,牧原股份,0.83
274,2020-04-30,002736,国信证券,0.2
275,2020-04-30,002739,万达电影,0.11
276,2020-04-30,002773,康弘药业,0.08
277,2020-04-30,002841,视源股份,0.04
278,2020-04-30,002916,深南电路,0.18
279,2020-04-30,002938,鹏鼎控股,0.08
280,2020-04-30,002939,长城证券,0.03
281,2020-04-30,002945,华林证券,0.03
282,2020-04-30,002958,青农商行,0.02
283,2020-04-30,300003,乐普医疗,0.31
284,2020-04-30,300015,爱尔眼科,0.42
285,2020-04-30,300017,网宿科技,0.12
286,2020-04-30,300024,机器人,0.11
287,2020-04-30,300033,同花顺,0.19
288,2020-04-30,300059,东方财富,0.74
289,2020-04-30,300070,碧水源,0.14
290,2020-04-30,300122,智飞生物,0.29
291,2020-04-30,300124,汇川技术,0.26
292,2020-04-30,300136,信维通信,0.24
293,2020-04-30,300142,沃森生物,0.38
294,2020-04-30,300144,宋城演艺,0.2
295,2020-04-30,300347,泰格医药,0.31
296,2020-04-30,300408,三环集团,0.17
297,2020-04-30,300413,芒果超媒,0.19
298,2020-04-30,300433,蓝思科技,0.18
299,2020-04-30,300498,温氏股份,0.85
